Cluster 1,Cluster 2,Cluster 3,Cluster 1A,Cluster 1B,Cluster 1C,Cluster 2B
A4GALT,AASS,ACO1,APOL1,ACE2,A4GALT,AASS
ABCA1,ABCB1,ACTRT2,APOL3,ANGPTL6,ABCA1,ABCB1
ACE2,ABTB2,AMER2,APOL6,APOBEC3D,ADAMTS1,ACP2
ADAMTS1,ACP2,ARL10,BST2,APOBEC3F,ADAT3,AGT
ADAT3,ACY3,ASB1,CHTF8,APOBEC3G,ADRA2A,AIDA
ADRA2A,ADAMTS15,ASIC2,CXCL10,APOL2,ANXA2R,AKAP3
ANGPTL6,ADAMTS6,BRI3BP,DDX60,B2M,APOL4,AK0
ANXA2R,ADAR,C10ORF105,ETV7,BATF2,AREG,AMER1
APOBEC3D,ADM,C11ORF87,GBP1,BIRC3,AREGB,ANKFY1
APOBEC3F,AGBL2,C15ORF27,GBP3,BTC,ARPC4-TTLL3,ANKIB1
APOBEC3G,AGRN,C15ORF37,GBP4,BTN3A1,BCO2,ANXA6
APOL1,AGT,C15ORF59,GBP5,BTN3A2,BHLHE41,AP3B1
APOL2,AIDA,C1QL3,GIMAP2,BTN3A3,C2CD4A,APBA2
APOL3,AIM1,C21ORF62,HLA-B,C12ORF63,C2CD4B,ARL9
APOL4,AKAP3,C7ORF41,HLA-F,C19ORF66,C6ORF132,ARMCX1
APOL6,AKAP7,C9ORF117,HSH2D,C2,CCDC68,ARSJ
AREG,AK0,CACNG5,IFI16,C5ORF56,CCDC9,ASCC3
AREGB,ALPK1,CERK,IFI27,CASP4,CEACAM19,ASTN1
ARPC4-TTLL3,AMER1,CHR04,IFI44,CASP7,CEBPD,ATP10D
B2M,ANKFY1,CLN8,IFI44L,CASP8,CISH,ATXN7
BATF2,ANKIB1,CMTM4,IFI6,CD274,CNKSR3,BANK1
BCO2,ANXA6,DCLK3,IFIT1,CFB,COL3A1,BRCA2
BHLHE41,AP3B1,EF02,IFIT2,CLIC5,CREM,C11ORF52
BIRC3,APBA2,EF04,IFIT3,CMPK2,DACT2,C11ORF72
BST2,APOBEC3B,ELFN2,IFITM1,CR2,DENND4A,C1ORF173
BTC,APOBEC3C,FABP1,IFITM2,CSF1,DES,C3ORF55
BTN3A1,ARHGAP27,FAM101B,IFITM3,CTSS,D0JC25-GNG10,C4A
BTN3A2,ARHGAP31,FAM168B,ISG15,CXCL1,ELF3,C4B
