Timepoint,Cluster,TF,De Novo Motif
2h,cluster1,STAT2,STAT5/STAT3
2h,cluster1,STAT1,STAT5/STAT3
2h,cluster1,NFKB1,
2h,cluster1,IRF1,IRF1/IRF4
2h,cluster1,ZZZ3,
2h,cluster2,E2F1,PB0008.1_E2F2_1
2h,cluster2,CTBP2,
2h,cluster2,TRIM28,
2h,cluster2,POLR2A,
2h,cluster2,TBP,
2h,cluster2,MEF2A,
2h,cluster2,TAF1,
2h,cluster2,BCLAF1,
2h,cluster2,MAX,
2h,cluster2,SIN3A,
2h,cluster2,E2F6,PB0008.1_E2F2_1
2h,cluster2,HEY1,
2h,cluster2,SP1,SP1
2h,cluster2,USF1,
2h,cluster2,MEF2C,
2h,cluster2,BCL11A,PB0110.1_Bcl6b
2h,cluster2,JUNB,
2h,cluster2,STAT3,
2h,cluster2,NRF1,NRF1
2h,cluster2,EP300,
2h,cluster2,PAX5,PAX8
2h,cluster2,NR3C1,Tlx?(NR)
2h,cluster2,TCF4,
2h,cluster2,TCF12,
2h,cluster2,SMARCB1,
2h,cluster2,MAFF,
2h,cluster2,GTF2B,
2h,cluster2,CCNT2,
2h,cluster2,YY1,YY2
2h,cluster2,HMGN3,
2h,cluster2,ZBTB7A,PB0091.1_Zbtb3
2h,cluster2,CHD2,
2h,cluster2,ELF1,
2h,cluster2,HDAC2,
2h,cluster2,EBF1,
2h,cluster2,RXRA,
2h,cluster2,RAD21,
2h,cluster2,FOXA1,"Fox:Ebox(Forkhead,bHLH)/Panc1-Foxa2"
2h,cluster2,HNF4G,HNF1B
2h,cluster2,HNF4A,HNF1B
2h,cluster2,RFX5,
2h,cluster2,GABPB1,
2h,cluster2,ZBTB33,PB0091.1_Zbtb3
2h,cluster2,FOXA2,"Fox:Ebox(Forkhead,bHLH)/Panc1-Foxa2"
2h,cluster3,SP2,Sp1
2h,cluster3,ESRRA,
2h,cluster3,IRF3,IRF4
2h,cluster3,THAP1,
2h,cluster3,SREBF1,
24h,cluster1A,STAT2,STAT3
24h,cluster1A,NFKB1,
24h,cluster1A,EBF1,EBF(EBF)
24h,cluster1A,TBP,
24h,cluster1B,HEY1,
24h,cluster1B,STAT2,STAT5/STAT3
24h,cluster1B,TAF1,
24h,cluster1B,SIN3A,
24h,cluster1B,IRF1,
24h,cluster1B,STAT1,STAT5/STAT3
24h,cluster1B,FOXA2,B0016.1_Foxj1/FOXP3
24h,cluster1B,NFYA,
24h,cluster1B,E2F6,
24h,cluster1B,ELF1,
24h,cluster1B,NFYB,
24h,cluster1B,PAX5,PAX6
24h,cluster1B,HNF4A,HNF1B
24h,cluster1B,SIRT6,
24h,cluster1B,JUN,
24h,cluster1B,E2F4,
24h,cluster1B,POLR2A,
24h,cluster1B,RXRA,RAR:RXR(NR)
24h,cluster1B,NFKB1,
24h,cluster1B,ETS1,
24h,cluster1B,TCF12,
24h,cluster1B,TBP,
24h,cluster1C,CTBP2,
24h,cluster1C,SMARCB1,SMAD2::SMAD3::SMAD
24h,cluster2B,E2F6,PB0008.1_E2F2
24h,cluster2B,ZBTB7A,
24h,cluster2B,ETS1,
24h,cluster2B,THAP1,THAP1
24h,cluster2B,FOXA2,FOXO1(Forkhead)
24h,cluster2B,TCF4,
24h,cluster2B,MAX,
24h,cluster2B,IRF1,IRF4
24h,cluster2B,HEY1,
24h,cluster2B,GABPB1,
24h,cluster2B,HDAC2,
24h,cluster2B,E2F1,PB0008.1_E2F2
24h,cluster2B,USF1,
24h,cluster2B,YY1,
24h,cluster2B,SIN3A,
24h,cluster2B,ELF1,
24h,cluster2B,NFKB1,
24h,cluster2B,HMGN3,
24h,cluster2B,HSF1,
24h,cluster2B,CCNT2,
24h,cluster2B,CHD2,
24h,cluster2B,GTF2F1,
24h,cluster2B,SMARCB1,
24h,cluster2B,TBP,
24h,cluster2B,GTF2B,
24h,cluster2B,ESRRA,PB0118.1_Esrra
24h,cluster2B,NR3C1,
24h,cluster2B,HNF4G,HNF1B
24h,cluster2B,TCF12,
24h,cluster2B,PAX5,
24h,cluster2B,NR2C2,PB0153.1_Nr2f2
24h,cluster2B,SMC3,
24h,cluster3,ESRRA,PB0118.1_Esrra
24h,cluster3,IRF3,IRF4
24h,cluster3,THAP1,
24h,cluster3,SREBF1,
