gene,regulation status,enriched
RELA,0,1
NFKB1,0,1
STAT1,1,1
TP53,0,1
STAT3,1,1
STAT2,1,1
NR3C1,0,1
JUND,0,1
IRF7,1,1
HSF1,0,1
HNF4A,0,1
CEBPB,0,1
ESRRA,0,1
GTF2B,1,0
NFKBIA,1,0
SIN3A,0,1
HNF4G,1,1
TCF12,0,1
BIRC3,1,0
XIAP,1,0
UBE2O,1,0
TRIM26,1,0
RNF31,1,0
RIPK1,1,0
LRSAM1,1,0
DCLRE1C,1,0
PSMA5,1,0
PCGF5,1,0
FAM84B,1,0
GTPBP1,1,0
UBR2,1,0
PSME1,1,0
C4B,1,0
C4A,1,0
HPDL,-1,0
WBP4,1,0
QKI,1,0
PSME2,1,0
CHMP5,1,0
ANKFY1,1,0
CHORDC1,1,0
SAMHD1,1,0
DNPEP,1,0
UHRF1BP1,1,0
PPP2R2A,1,0
SERPINB9,1,0
IPO4,1,0
INPP1,1,0
TARS,1,0
WARS,1,0
GMPR,1,0
NAMPT,1,0
FAM83B,1,0
PANX1,1,0
TJP2,1,0
