source,target
NFYA,CENPF
E2F4,CBX5
NFYB,NFYA
NFYB,CENPF
NFYA,TPX2
NFYA,PRR11
NFYA,PLK1
NFYA,OIP5
NFYA,NT5DC2
NFYA,NFYB
NFYA,ECT2
NFYA,DEPDC1B
NFYA,CDC20
NFYA,CCNB2
NFYA,CCNB1
NFYA,CBX5
MXI1,TAS1R3
MXI1,ST3GAL4
MXI1,PLK1
MXI1,PDIA5
MXI1,NT5DC2
MXI1,MT1E
MXI1,FKBP11
MXI1,CENPF
MXI1,CCNB1
MXI1,CBX5
MXI1,ARID3A
E2F4,TOP2A
E2F4,PLK1
E2F4,NFYA
E2F4,HMMR
E2F4,ANLN
ARID3A,E2F4
E2F4,ARID3A
E2F4,CIT
E2F4,OIP5
E2F4,ASPM
E2F4,CDCA8
E2F4,DEPDC1B
E2F4,NUF2
E2F4,KIF23
MXI1,KIF23
NFYA,ASPM
NFYA,TOP2A
NFYB,CBX5
NFYB,ASPM
NFYB,PRR11
NFYB,TOP2A
NFYB,CCNB1
