Gene name,ENS ID
ABTB2,ENSG00000166016
ADAR,ENSG00000160710
AGRN,ENSG00000188157
ANKIB1,ENSG00000001629
APOBEC3B,ENSG00000179750
APOBEC3F,ENSG00000128394
APOBEC3G,ENSG00000239713
APOL1,ENSG00000100342
APOL2,ENSG00000128335
AZI2,ENSG00000163512
B2M,ENSG00000166710
BAZ1A,ENSG00000198604
BST2,ENSG00000130303
C19ORF66,ENSG00000130813
C2CD4A,ENSG00000198535
C4A,ENSG00000244731
CASP4,ENSG00000196954
CASP7,ENSG00000165806
CASP8,ENSG00000064012
CD274,ENSG00000120217
CD44,ENSG00000026508
CDK17,ENSG00000059758
CLN3,ENSG00000188603
CMPK2,ENSG00000134326
CTH,ENSG00000116761
CXCL1,ENSG00000163739
CXORF38,ENSG00000185753
CYP2J2,ENSG00000134716
CYTH1,ENSG00000108669
DAB2IP,ENSG00000136848
DCLRE1C,ENSG00000152457
DDX58,ENSG00000107201
DDX60,ENSG00000137628
DDX60L,ENSG00000181381
DENND3,ENSG00000105339
DHX58,ENSG00000108771
DNAJA1,ENSG00000086061
DTX3L,ENSG00000163840
DYNLT1,ENSG00000146425
EHD4,ENSG00000103966
EIF2AK2,ENSG00000055332
ELF1,ENSG00000120690
ENTPD6,ENSG00000197586
EPSTI1,ENSG00000133106
ERAP2,ENSG00000164308
ETV6,ENSG00000139083
ETV7,ENSG00000010030
FAM46A,ENSG00000112773
FBXO6,ENSG00000116663
GBP1,ENSG00000117228
GSDMD,ENSG00000104518
GTF2B,ENSG00000137947
HDX,ENSG00000165259
HELZ2,ENSG00000130589
HERC5,ENSG00000138646
HLA-A,ENSG00000206503
HLA-B,ENSG00000234745
HLA-C,ENSG00000204525
HLA-E,ENSG00000204592
IFI35,ENSG00000068079
IFI6,ENSG00000126709
IFIH1,ENSG00000115267
IFIT1,ENSG00000185745
IFIT2,ENSG00000119922
IFIT3,ENSG00000119917
IFIT5,ENSG00000152778
IFITM2,ENSG00000185201
INPP4B,ENSG00000109452
IRF7,ENSG00000185507
IRF9,ENSG00000213928
ISG15,ENSG00000187608
ISG20,ENSG00000172183
KCNT2,ENSG00000162687
LAMP3,ENSG00000078081
LAP3,ENSG00000002549
LGALS3BP,ENSG00000108679
LGALS8,ENSG00000116977
LRCH2,ENSG00000130224
LRP10,ENSG00000197324
LY6E,ENSG00000160932
MASTL,ENSG00000120539
MDK,ENSG00000110492
MT2A,ENSG00000125148
MUC13,ENSG00000173702
MVP,ENSG00000013364
MX1,ENSG00000157601
MX2,ENSG00000183486
MYD88,ENSG00000172936
NAMPT,ENSG00000105835
NAPA,ENSG00000105402
NFKBIZ,ENSG00000144802
NMI,ENSG00000123609
NT5C3A,ENSG00000122643
NUB1,ENSG00000013374
OAS1,ENSG00000089127
OAS2,ENSG00000111335
OAS3,ENSG00000111331
OASL,ENSG00000135114
OGFR,ENSG00000060491
OPTN,ENSG00000123240
PARP10,ENSG00000178685
PARP12,ENSG00000059378
PARP14,ENSG00000173193
PARP4,ENSG00000102699
PARP9,ENSG00000138496
PCDH17,ENSG00000118946
PCGF5,ENSG00000180628
PHF11,ENSG00000136147
PIK3AP1,ENSG00000155629
PLEKHA4,ENSG00000105559
PLSCR1,ENSG00000188313
PML,ENSG00000140464
PNPT1,ENSG00000138035
PPM1K,ENSG00000163644
PRKD2,ENSG00000105287
PSMB10,ENSG00000205220
PSMB8,ENSG00000204264
PSMB9,ENSG00000240065
PXK,ENSG00000168297
