,RNA-seq 8h,RNA-seq 24h,Proteomics 8h,Proteomics 24h
ABTB2,Up,Up,Up,Up
ADAR,Up,Up,Up,Up
AGRN,Up,Up,Up,Up
ANKIB1,Up,Up,Up,Up
APOBEC3B,Up,Up,Up,Up
APOBEC3F,Up,Up,Up,Up
APOBEC3G,Up,Up,Up,Up
APOL1,Up,Up,Up,Up
APOL2,Up,Up,Up,Up
AZI2,Up,Up,Up,Up
B2M,Up,Up,Up,Up
BAZ1A,Up,Up,Up,Up
BST2,Up,Up,Up,Up
C19ORF66,Up,Up,Up,Up
C2CD4A,Up,Up,Up,Up
C4A,Up,Up,Up,Up
CASP4,Up,Up,Up,Up
CASP7,Up,Up,Up,Up
CASP8,Up,Up,Up,Up
CD274,Up,Up,Up,Up
CD44,Up,Up,Up,Up
CDK17,Up,Up,Up,Up
CLN3,Up,Up,Up,Up
CMPK2,Up,Up,Up,Up
CTH,Up,Up,Up,Up
CXCL1,Up,Up,Up,Up
CXORF38,Up,Up,Up,Up
CYP2J2,Up,Up,Up,Up
CYTH1,Up,Up,Up,Up
DAB2IP,Up,Up,Up,Up
DCLRE1C,Up,Up,Up,Up
DDX58,Up,Up,Up,Up
DDX60,Up,Up,Up,Up
DDX60L,Up,Up,Up,Up
DENND3,Up,Up,Up,Up
DHX58,Up,Up,Up,Up
DNAJA1,Up,Up,Up,Up
DTX3L,Up,Up,Up,Up
DYNLT1,Up,Up,Up,Up
EHD4,Up,Up,Up,Up
EIF2AK2,Up,Up,Up,Up
ELF1,Up,Up,Up,Up
ENTPD6,Up,Up,Up,Up
EPSTI1,Up,Up,Up,Up
ERAP2,Up,Up,Up,Up
ETV6,Up,Up,Up,Up
ETV7,Up,Up,Up,Up
FAM46A,Up,Up,Up,Up
FBXO6,Up,Up,Up,Up
GBP1,Up,Up,Up,Up
GSDMD,Up,Up,Up,Up
GTF2B,Up,Up,Up,Up
HDX,Up,Up,Up,Up
HELZ2,Up,Up,Up,Up
HERC5,Up,Up,Up,Up
HLA-A,Up,Up,Up,Up
HLA-B,Up,Up,Up,Up
HLA-C,Up,Up,Up,Up
HLA-E,Up,Up,Up,Up
IFI35,Up,Up,Up,Up
IFI6,Up,Up,Up,Up
IFIH1,Up,Up,Up,Up
IFIT1,Up,Up,Up,Up
IFIT2,Up,Up,Up,Up
IFIT3,Up,Up,Up,Up
IFIT5,Up,Up,Up,Up
IFITM2,Up,Up,Up,Up
INPP4B,Up,Up,Up,Up
IRF7,Up,Up,Up,Up
IRF9,Up,Up,Up,Up
ISG15,Up,Up,Up,Up
ISG20,Up,Up,Up,Up
KCNT2,Up,Up,Up,Up
LAMP3,Up,Up,Up,Up
LAP3,Up,Up,Up,Up
LGALS3BP,Up,Up,Up,Up
LGALS8,Up,Up,Up,Up
LRCH2,Up,Up,Up,Up
LRP10,Up,Up,Up,Up
LY6E,Up,Up,Up,Up
MASTL,Up,Up,Up,Up
MDK,Up,Up,Up,Up
MT2A,Up,Up,Up,Up
MUC13,Up,Up,Up,Up
